song_id;title;artist;top genre;year;populer
1;Love The Way You Lie;Eminem;detroit hip hop;2010;82
2;TiK ToK;Kesha;dance pop;2010;80
3;Bad Romance;Lady Gaga;dance pop;2010;79
4;Just the Way You Are;Bruno Mars;pop;2010;78
5;Baby;Justin Bieber;canadian pop;2010;77
6;Dynamite;Taio Cruz;dance pop;2010;77
7;Secrets;OneRepublic;dance pop;2010;77
8;Empire State of Mind (Part II) Broken Down;Alicia Keys;hip pop;2010;76
9;Only Girl (In The World);Rihanna;barbadian pop;2010;73
10;Club Can't Handle Me (feat. David Guetta);Flo Rida;dance pop;2010;73
11;Marry You;Bruno Mars;pop;2010;73
12;Cooler Than Me - Single Mix;Mike Posner;dance pop;2010;73
13;Telephone;Lady Gaga;dance pop;2010;73
14;Like A G6;Far East Movement;dance pop;2010;72
15;OMG (feat. will.i.am);Usher;atl hip hop;2010;72
16;Eenie Meenie;Sean Kingston;dance pop;2010;71
17;The Time (Dirty Bit);The Black Eyed Peas;dance pop;2010;70
18;Alejandro;Lady Gaga;dance pop;2010;69
19;Your Love Is My Drug;Kesha;dance pop;2010;69
20;Meet Me Halfway;The Black Eyed Peas;dance pop;2010;68
21;Whataya Want from Me;Adam Lambert;australian pop;2010;66
22;Take It Off;Kesha;dance pop;2010;66
23;Misery;Maroon 5;pop;2010;65
24;All The Right Moves;OneRepublic;dance pop;2010;65
25;Animal;Neon Trees;indie pop;2010;65
26;Naturally;Selena Gomez & The Scene;dance pop;2010;64
27;I Like It;Enrique Iglesias;dance pop;2010;63
28;Teenage Dream;Katy Perry;dance pop;2010;63
29;California Gurls;Katy Perry;dance pop;2010;62
30;3;Britney Spears;dance pop;2010;62
31;My First Kiss - feat. Ke$ha;3OH!3;dance pop;2010;62
32;Blah Blah Blah (feat. 3OH!3);Kesha;dance pop;2010;62
33;Imma Be;The Black Eyed Peas;dance pop;2010;62
34;Try Sleeping with a Broken Heart;Alicia Keys;hip pop;2010;62
35;Sexy Bitch (feat. Akon);David Guetta;dance pop;2010;61
36;Bound To You - Burlesque Original Motion Picture Soundtrack;Christina Aguilera;dance pop;2010;61
37;If I Had You;Adam Lambert;australian pop;2010;59
38;Rock That Body;The Black Eyed Peas;dance pop;2010;59
39;Dog Days Are Over;Florence + The Machine;art pop;2010;58
40;Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack;Christina Aguilera;dance pop;2010;58
41;Doesn't Mean Anything;Alicia Keys;hip pop;2010;57
42;Hard;Rihanna;barbadian pop;2010;57
43;Loca;Shakira;colombian pop;2010;56
44;You Lost Me;Christina Aguilera;dance pop;2010;56
45;Not Myself Tonight;Christina Aguilera;dance pop;2010;55
46;Written in the Stars (feat. Eric Turner);Tinie Tempah;dance pop;2010;52
47;DJ Got Us Fallin' In Love (feat. Pitbull);Usher;atl hip hop;2010;52
48;Castle Walls (feat. Christina Aguilera);T.I.;atl hip hop;2010;49
49;Break Your Heart;Taio Cruz;dance pop;2010;33
50;Hello;Martin Solveig;big room;2010;0
51;A Thousand Years;Christina Perri;dance pop;2011;81
52;Someone Like You;Adele;british soul;2011;80
53;Give Me Everything;Pitbull;dance pop;2011;79
54;Just the Way You Are;Bruno Mars;pop;2011;78
55;Rolling in the Deep;Adele;british soul;2011;76
56;Run the World (Girls);Beyonc̩;dance pop;2011;76
57;Moves Like Jagger - Studio Recording From The Voice Performance;Maroon 5;pop;2011;76
58;Love On Top;Beyonc̩;dance pop;2011;76
59;Grenade;Bruno Mars;pop;2011;75
60;Tonight Tonight;Hot Chelle Rae;dance pop;2011;75
61;What the Hell;Avril Lavigne;canadian pop;2011;74
62;Born This Way;Lady Gaga;dance pop;2011;73
63;Monster;Kanye West;chicago rap;2011;73
64;Marry You;Bruno Mars;pop;2011;73
65;Best Thing I Never Had;Beyonc̩;dance pop;2011;73
66;Party Rock Anthem;LMFAO;dance pop;2011;72
67;We R Who We R;Kesha;dance pop;2011;72
68;Price Tag;Jessie J;australian pop;2011;72
69;Good Life;OneRepublic;dance pop;2011;72
